Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
20/11/2023 07:36:04,38.77612,38.226,7.0,0.54,MW,4.5,Pütürge (Malatya),610030
15/11/2023 22:32:10,38.53277,38.18093,11.5,0.35,MW,4.0,Battalgazi (Malatya),609623
13/11/2023 14:58:04,44.64028,39.44636,18.14,0.42,MW,4.4,"Maku, West Azarbaijan (İran) - [20.47 km] Doğubayazıt (Ağrı)",666582
11/11/2023 09:05:32,31.8925,36.25428,89.75,0.9,MW,4.2,Akdeniz - [30.36 km] Alanya (Antalya),609232
24/10/2023 00:39:33,38.6772,38.19676,7.5,0.26,MW,4.3,Pütürge (Malatya),607361
16/10/2023 11:51:01,36.32451,37.81051,6.89,0.48,MW,4.1,Andırın (Kahramanmaraş),606498
09/10/2023 06:28:53,38.14394,38.32325,6.96,0.35,MW,4.3,Yeşilyurt (Malatya),605778
07/10/2023 22:01:46,38.14921,38.09619,5.93,0.41,MW,4.4,Yeşilyurt (Malatya),605630
23/09/2023 08:22:21,36.32551,37.91488,8.48,0.42,MW,4.6,Göksun (Kahramanmaraş),603877
08/09/2023 02:03:01,32.76361,41.74613,11.47,0.2,MW,4.0,Merkez (Bartın),666617
26/08/2023 08:58:43,37.54987,38.03348,6.99,0.37,ML,4.1,Nurhak (Kahramanmaraş),600632
24/08/2023 05:35:23,38.16048,38.30178,7.0,0.5,MW,5.0,Yeşilyurt (Malatya),600288
23/08/2023 18:22:32,43.68198,39.65754,7.0,0.43,MW,4.1,Doğubayazıt (Ağrı),600210
17/08/2023 15:25:06,37.70652,37.79707,5.43,0.39,MW,4.1,Gölbaşı (Adıyaman),599398
16/08/2023 14:36:58,35.37346,37.65627,7.3,0.55,ML,4.5,Aladağ (Adana),599289
12/08/2023 15:18:19,38.20073,38.27849,9.13,0.32,MW,4.2,Yeşilyurt (Malatya),598730
12/08/2023 13:40:01,38.21618,38.317,7.0,0.43,MW,4.5,Yeşilyurt (Malatya),598704
12/08/2023 13:39:16,38.22441,38.30503,6.35,0.27,MW,4.8,Yeşilyurt (Malatya),598703
10/08/2023 17:48:00,38.20579,38.29778,7.89,0.39,MW,5.3,Yeşilyurt (Malatya),598386
10/08/2023 12:25:52,40.37279,38.528,16.81,0.5,ML,4.2,Hani (Diyarbakır),598363
09/08/2023 17:01:46,38.43776,38.18558,12.1,0.31,MW,4.4,Yeşilyurt (Malatya),598284
03/08/2023 04:56:15,38.66956,38.16423,7.04,0.35,MW,4.3,Pütürge (Malatya),597524
25/07/2023 07:57:54,35.88159,37.57982,9.06,0.42,MW,4.4,Kozan (Adana),596351
22/07/2023 14:43:09,37.62558,38.03788,7.05,0.42,MW,4.2,Doğanşehir (Malatya),596046
20/07/2023 23:49:14,27.10421,37.72027,13.11,0.39,MW,4.0,Ege Denizi - Kuşadası Körfezi - [10.31 km] Kuşadası (Aydın),595814
29/06/2023 13:34:42,37.40058,38.00388,5.53,0.34,MW,4.0,Nurhak (Kahramanmaraş),593022
27/06/2023 12:40:06,39.20763,38.41881,7.75,0.25,MW,4.1,Sivrice (Elazığ),592799
22/06/2023 05:21:02,38.44678,38.10154,7.01,0.29,MW,4.1,Çelikhan (Adıyaman),591887
19/06/2023 10:15:37,44.61756,38.83094,7.0,0.88,MW,4.1,"Khoy, West Azarbaijan (İran) - [32.21 km] Özalp (Van)",591408
19/06/2023 00:30:18,38.06938,38.17843,3.3,0.21,MW,4.4,Yeşilyurt (Malatya),591331
18/06/2023 15:36:28,38.61833,38.19849,7.06,0.36,MW,4.6,Pütürge (Malatya),591273
11/06/2023 14:57:02,36.24661,37.88336,7.0,0.43,MW,4.2,Saimbeyli (Adana),589864
11/06/2023 07:41:03,40.96279,40.13197,7.0,0.6,MW,4.6,Aziziye (Erzurum),589802
11/06/2023 04:47:13,36.23144,37.88464,4.85,0.6,MW,4.0,Saimbeyli (Adana),589765
11/06/2023 04:42:00,27.11745,37.75395,7.52,0.38,MW,4.2,Ege Denizi - Kuşadası Körfezi - [09.98 km] Kuşadası (Aydın),589764
03/06/2023 22:25:20,39.38452,38.24801,7.0,0.45,MW,4.2,Çüngüş (Diyarbakır),588410
03/06/2023 15:07:26,37.28101,39.44778,7.0,0.45,MW,4.1,Ulaş (Sivas),588353
25/05/2023 15:02:05,38.5843,38.11953,6.96,0.22,MW,4.1,Pütürge (Malatya),586608
22/05/2023 16:42:58,36.26042,37.86653,7.0,0.42,MW,4.5,Saimbeyli (Adana),585840
21/05/2023 12:46:13,36.22691,37.88298,6.67,0.39,MW,4.9,Saimbeyli (Adana),585555
13/05/2023 19:54:45,38.57845,38.14371,7.47,0.24,MW,4.0,Battalgazi (Malatya),583761
12/05/2023 08:33:21,36.24842,37.86999,7.0,0.35,ML,4.5,Saimbeyli (Adana),583319
08/05/2023 20:20:33,38.39556,38.08805,8.64,0.27,MW,4.6,Çelikhan (Adıyaman),582396
07/05/2023 08:36:10,36.29446,36.42201,7.44,0.54,MW,4.7,Kırıkhan (Hatay),582127
05/05/2023 14:52:28,36.32565,37.96804,7.55,0.49,MW,4.6,Göksun (Kahramanmaraş),581604
01/05/2023 21:35:58,38.582,38.13441,5.44,0.36,MW,4.4,Pütürge (Malatya),580437
26/04/2023 20:00:35,26.3156,36.29317,54.16,0.7,MW,5.0,Ege Denizi - [110.19 km] Datça (Muğla),578955
25/04/2023 22:14:08,37.28553,38.04862,7.0,0.6,MW,4.0,Nurhak (Kahramanmaraş),578621
25/04/2023 18:48:11,38.6338,38.23455,11.34,0.25,MW,4.0,Pütürge (Malatya),578559
19/04/2023 22:44:07,39.18814,38.45993,11.11,0.36,MW,4.6,Sivrice (Elazığ),576708
17/04/2023 04:07:18,43.84137,39.18881,7.0,0.49,MW,4.0,Çaldıran (Van),575616
15/04/2023 09:37:21,36.242,37.87633,7.0,0.36,MW,4.2,Saimbeyli (Adana),575093
13/04/2023 13:26:58,38.5599,38.11359,7.0,0.53,MW,4.3,Sincik (Adıyaman),574582
11/04/2023 10:30:45,44.71984,39.44775,7.0,0.63,MW,4.3,"Maku, West Azarbaijan (İran) - [27.86 km] Doğubayazıt (Ağrı)",573636
11/04/2023 08:17:41,36.457,37.86514,10.27,0.41,MW,4.0,Göksun (Kahramanmaraş),573598
03/04/2023 12:44:14,37.81598,38.06285,10.58,0.36,MW,4.2,Doğanşehir (Malatya),570951
03/04/2023 10:52:54,37.81949,38.06984,11.13,0.43,MW,4.3,Doğanşehir (Malatya),570892
03/04/2023 03:45:48,36.23407,37.88792,7.0,0.5,MW,4.3,Saimbeyli (Adana),570831
31/03/2023 10:56:56,36.56225,36.996,14.39,0.44,MW,4.3,İslahiye (Gaziantep),569788
29/03/2023 16:47:02,36.25188,37.91048,9.38,0.39,MW,4.5,Saimbeyli (Adana),569093
29/03/2023 13:58:38,38.16989,38.18047,7.01,0.38,ML,4.0,Yeşilyurt (Malatya),569056
25/03/2023 04:39:32,37.02225,38.05421,7.0,0.53,MW,4.5,Ekinözü (Kahramanmaraş),567365
24/03/2023 13:10:32,37.58299,38.00034,15.5,0.23,MW,4.4,Nurhak (Kahramanmaraş),567022
24/03/2023 03:16:56,44.7684,38.36233,7.0,0.85,MW,5.6,"Khoy, West Azarbaijan (İran) - [29.34 km] Başkale (Van)",566827
22/03/2023 19:43:23,38.11693,38.17928,6.99,0.25,MW,4.4,Yeşilyurt (Malatya),566314
20/03/2023 20:42:43,37.77827,38.10084,7.0,0.72,MW,4.1,Doğanşehir (Malatya),565584
20/03/2023 09:57:07,37.19815,38.06323,15.36,0.46,MW,4.3,Ekinözü (Kahramanmaraş),565348
19/03/2023 12:56:45,36.46287,37.992,7.35,0.39,MW,4.1,Göksun (Kahramanmaraş),565005
19/03/2023 07:25:26,37.93161,38.17602,6.96,0.41,MW,4.0,Doğanşehir (Malatya),564879
18/03/2023 09:25:31,36.36765,37.78097,6.99,0.27,MW,4.2,Andırın (Kahramanmaraş),564538
18/03/2023 05:14:29,36.45012,38.01394,7.0,0.36,MW,4.6,Göksun (Kahramanmaraş),564506
17/03/2023 13:24:10,36.6699,38.15231,12.39,0.33,ML,4.0,Göksun (Kahramanmaraş),564163
17/03/2023 01:41:12,36.51286,37.994,7.0,0.57,MW,4.1,Göksun (Kahramanmaraş),563931
