Network,Code,Longitude,Latitude,Height,Province,District
"TU","GUNE",35.625,38.9025,1235,"Kayseri","Kocasinan"
"TU","SIRC",35.1481,39.3363,1241,"Yozgat","Boğazlıyan"
"TU","KIRK",27.0972,41.7817,258,"Kırklareli","Merkez"
"TU","ZEDA",27.0771,38.9665,179,"İzmir","Bergama"
"TU","USAK",29.0181,38.7143,723,"Uşak","Merkez"
"TU","AFYO",30.2988,38.7871,1080,"Afyonkarahisar","Sinanpaşa"
"TU","AKUM",30.343,36.3227,70,"Antalya","Kumluca"
"TK","0704",32.3156,36.2347,394,"Antalya","Gazipaşa"
"TU","KAGI",34.4782,41.1384,448,"Çorum","Kargı"
"TU","PELI",33.3177,41.3005,1057,"Kastamonu","Araç"
"TU","KIRS",33.9168,39.1329,981,"Kırşehir","Merkez"
"TU","KRIK",40.9271,40.3374,2025,"Erzurum","İspir"
"TU","BLIS",42.1152,38.4146,1608,"Bitlis","Merkez"
"TU","MUSM",41.5118,38.724,1357,"Muş","Merkez"
"KO","SRCK",30.6259,40.0416,331,"Eskişehir","Sarıcakaya"
"KO","CIFT",31.0625,39.3611,892,"Eskişehir","Çifteler"
"GO","BATM",41.6936,41.604,298,"-","-"
"GO","KZRT",44.3987,41.3866,723,"-","-"
"TU","AGRI",43.0251,39.7176,0,"Ağrı","Merkez"
"TU","MERT",34.1453,36.5869,855,"Mersin","Erdemli"
"TU","ELZ",38.9844,38.4978,999,"Elazığ","Merkez"
"TU","AMSY",35.8347,40.6371,951,"Amasya","Merkez"
"TU","EMRE",40.9762,40.0302,2066,"Erzurum","Aziziye"
"TK","0707",30.3503,37.0007,1303,"Antalya","Korkuteli"
"TU","EJDE",41.3035,39.8337,3151,"Erzurum","Palandöken"
"TU","BBTK",32.7603,39.8422,1200,"Ankara","Çankaya"
"TK","0104",35.8095,37.024,38,"Adana","Ceyhan"
"TK","0110",35.3901,36.568,22,"Adana","Karataş"
"TK","0122",35.8202,37.4339,119,"Adana","Kozan"
"TK","0124",34.8791,37.4087,791,"Adana","Pozantı"
"TK","0118",35.3184,37.0362,76,"Adana","Çukurova"
"TK","0120",35.7901,36.7701,35,"Adana","Yumurtalık"
"TK","0123",35.3438,37.0034,23,"Adana","Yüreğir"
"TK","0206",37.8496,37.6887,964,"Adıyaman","Besni"
"TK","0207",38.2476,38.0323,1380,"Adıyaman","Çelikhan"
"TK","0204",39.0347,38.029,777,"Adıyaman","Gerger"
"TK","0202",37.6528,37.7869,1763,"Adıyaman","Gölbaşı"
"TK","0205",38.616,37.7918,723,"Adıyaman","Kahta"
"TK","0201",38.2674,37.7612,671,"Adıyaman","Merkez"
"TK","0302",30.1537,38.0599,862,"Afyonkarahisar","Dinar"
"TK","0301",30.534,38.776,1054,"Afyonkarahisar","Merkez"
"TK","0308",30.2525,38.437,1056,"Afyonkarahisar","Sandıklı"
"TK","0309",31.2379,38.5261,1006,"Afyonkarahisar","Sultandağı"
"TK","0405",44.0909,39.5493,1593,"Ağrı","Doğubayazıt"
"TK","0403",42.6801,39.7989,1809,"Ağrı","Eleşkirt"
"TK","0401",43.0164,39.7198,1647,"Ağrı","Merkez"
"TK","0404",42.7725,39.5388,1565,"Ağrı","Tutak"
"TK","6801",34.027,38.3709,980,"Aksaray","Merkez"
"TK","0505",35.5215,40.3925,484,"Amasya","Göynücek"
"TK","0501",35.8039,40.6438,405,"Amasya","Merkez"
"TK","0508",35.8347,40.6371,951,"Amasya","Merkez"
"TK","0603",33.1186,39.5583,1305,"Ankara","Bala"
"TK","0601",31.917,40.1608,684,"Ankara","Beypazarı"
"TK","0618",32.4555,40.4798,1175,"Ankara","Çamlıdere"
"TK","0602",32.4959,39.4354,1220,"Ankara","Haymana"
"TK","0617",32.6319,40.4569,991,"Ankara","Kızılcahamam"
"TK","0605",32.753,39.9081,850,"Ankara","Çankaya"
"TK","0604",33.524,38.9625,971,"Ankara","Şereflikoçhisar"
"TK","0702",29.9205,36.737,1095,"Antalya","Elmalı"
"TK","0712",30.148,36.3022,1,"Antalya","Finike"
"TK","0705",29.6474,36.1951,25,"Antalya","Kaş"
"TK","0706",30.5597,36.6029,9,"Antalya","Kemer"
"TK","0708",30.292,36.3748,36,"Antalya","Kumluca"
"TK","0709",30.7215,36.8788,47,"Antalya","Muratpaşa"
"TK","0710",31.4324,36.7866,4,"Antalya","Manavgat"
"TK","0701",30.6667,36.8944,42,"Antalya","Muratpaşa"
"TK","0711",31.0876,36.918,35,"Antalya","Serik"
"TK","7501",42.7049,41.1061,1831,"Ardahan","Merkez"
"TK","0801",41.8384,41.1768,201,"Artvin","Merkez"
"TK","0912",28.746,37.9739,212,"Aydın","Buharkent"
"TK","0916",28.0503,37.8572,81,"Aydın","Köşk"
"TK","0905",27.265,37.86,24,"Aydın","Kuşadası"
"TK","0913",28.4654,37.9115,93,"Aydın","Kuyucak"
"TK","0902",27.7996,37.8455,65,"Aydın","Efeler"
"TK","0914",28.3431,37.9133,82,"Aydın","Nazilli"
"TK","0911",27.3921,37.7616,67,"Aydın","Söke"
"TK","0915",28.1506,37.8841,74,"Aydın","Sultanhisar"
"TK","1005",26.686,39.3113,4,"Balıkesir","Ayvalık"
"TK","1006",27.9966,40.3319,61,"Balıkesir","Bandırma"
"TK","1008",28.1273,39.3979,148,"Balıkesir","Bigadiç"
"TK","1009",28.6323,39.578,649,"Balıkesir","Dursunbey"
"TK","1011",27.861,40.336,174,"Balıkesir","Bandırma"
"TK","1013",27.0192,39.5895,22,"Balıkesir","Edremit"
"TK","1014",27.6424,40.114,33,"Balıkesir","Gönen"
"TK","1003",27.862,39.655,158,"Balıkesir","Karesi"
"TK","1017",27.8572,39.6497,262,"Balıkesir","Karesi"
"TK","1016",27.6544,39.3804,284,"Balıkesir","Savaştepe"
"TK","1015",28.1714,39.2395,234,"Balıkesir","Sındırgı"
"TK","7401",32.3331,41.6331,17,"Bartın","Merkez"
"TK","7402",32.2504,41.6361,233,"Bartın","Merkez"
"TK","7201",41.1511,37.873,597,"Batman","Merkez"
"TK","1102",30.0529,39.9043,751,"Bilecik","Bozüyük"
"TK","1101",29.9774,40.1411,532,"Bilecik","Merkez"
"TK","1210",40.5593,38.7501,1018,"Bingöl","Genç"
"TK","1206",41.0088,39.2935,1825,"Bingöl","Karlıova"
"TK","1201",40.5032,38.8971,1133,"Bingöl","Merkez"
"TK","1209",41.0499,38.966,1383,"Bingöl","Solhan"
"TK","1303",42.7631,38.7998,1678,"Bitlis","Adilcevaz"
"TK","1302",42.1591,38.4744,1794,"Bitlis","Merkez"
"TK","1304",42.281,38.5031,1676,"Bitlis","Tatvan"
"TK","1409",32.0636,40.717,1169,"Bolu","Dörtdivan"
"TK","1402",32.2059,40.7925,1305,"Bolu","Gerede"
"TK","1403",30.7898,40.3984,825,"Bolu","Göynük"
"TK","1405",32.076,40.9381,623,"Bolu","Mengen"
"TK","1401",31.6073,40.7457,746,"Bolu","Merkez"
"TK","1408",31.2099,40.4684,831,"Bolu","Mudurnu"
"TK","1407",31.0112,40.5776,550,"Bolu","Mudurnu"
"TK","1410",32.037,40.7711,1002,"Bolu","Yeniçağa"
"TK","1504",30.5876,37.4582,803,"Burdur","Bucak"
"TK","1506",29.5086,37.1472,1000,"Burdur","Gölhisar"
"TK","1502",30.2209,37.7032,874,"Burdur","Merkez"
"TK","1505",29.779,37.3161,1153,"Burdur","Tefenni"
"TK","1628",29.0959,40.2734,143,"Bursa","Osmangazi"
"TK","1607",29.098,40.3944,9,"Bursa","Gemlik"
"TK","1616",29.2588,40.4498,148,"Bursa","Orhangazi"
"TK","1609",29.1666,40.4254,2,"Bursa","Gemlik"
"TK","1630",29.1221,40.363,74,"Bursa","Gemlik"
"TK","1610",29.5088,40.0671,304,"Bursa","İnegöl"
"TK","1611",29.7168,40.4292,95,"Bursa","İznik"
"TK","1613",29.2317,39.9151,1060,"Bursa","Keles"
"TK","1627",29.0752,40.2257,91,"Bursa","Osmangazi"
"TK","1618",28.9282,40.351,34,"Bursa","Mudanya"
"TK","1614",28.3939,40.0347,41,"Bursa","Mustafakemalpaşa"
